,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
28,KEGG_2021_Human,Porphyrin and chlorophyll metabolism,2/43,0.0798318708747244,0.443204524511401,0,0,4.458220415537489,11.269634324206462,ALAS1;UGT2B11
29,KEGG_2021_Human,Phagosome,4/152,0.0850225725667306,0.4562878061081211,0,0,2.479666582470321,6.1119776550189755,FCGR3B;CD209;FCAR;HLA-DQB1
30,KEGG_2021_Human,Hematopoietic cell lineage,3/99,0.0939499569241963,0.4879336472514715,0,0,2.8613372093023255,6.767042503887928,CSF1;IL1R2;HLA-DQB1
31,KEGG_2021_Human,Chagas disease,3/102,0.1005091787495307,0.5033147823155182,0,0,2.7742071881606765,6.373758283718214,CXCL8;CCL3L3;CCL3
32,KEGG_2021_Human,Malaria,2/50,0.1031638994808204,0.5033147823155182,0,0,3.806712962962963,8.646706001531626,CXCL8;ICAM1
33,KEGG_2021_Human,Taurine and hypotaurine metabolism,1/11,0.1136010782160802,0.5379345174349681,0,0,9.111520737327188,19.818125081966983,GGT5
34,KEGG_2021_Human,Viral myocarditis,2/60,0.1391479073971621,0.6400803740269458,0,0,3.148786717752235,6.210093306331631,ICAM1;HLA-DQB1
35,KEGG_2021_Human,Thiamine metabolism,1/15,0.1516441027639583,0.6781861262499249,0,0,6.506912442396313,12.273461442607385,ALPL
36,KEGG_2021_Human,Relaxin signaling pathway,3/129,0.1667069990976049,0.7254007258030918,0,0,2.176744186046512,3.899675310854919,EDN1;COL4A5;MMP9
37,KEGG_2021_Human,Fatty acid biosynthesis,1/18,0.1791057494823056,0.7588427807013477,0,0,5.357820547573868,9.214266558139537,ACSL1
42,KEGG_2021_Human,Leishmaniasis,2/77,0.2049525259806638,0.7673803879741136,0,0,2.432962962962963,3.8561901124781337,FCGR3B;HLA-DQB1
41,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,2/77,0.2049525259806638,0.7673803879741136,0,0,2.432962962962963,3.8561901124781337,TCF7L2;ITGB8
39,KEGG_2021_Human,Rap1 signaling pathway,4/210,0.1968474021642503,0.7673803879741136,0,0,1.7762453497867707,2.886978564171656,DOCK4;CSF1;SIPA1L2;RAP1GAP
38,KEGG_2021_Human,PPAR signaling pathway,2/74,0.1930570533881462,0.7673803879741136,0,0,2.5347222222222223,4.169033853670514,ACSL1;SCD
40,KEGG_2021_Human,Apoptosis,3/142,0.2021832145760219,0.7673803879741136,0,0,1.9718587920361383,3.1521759795344964,BCL2A1;DDIT3;CSF2RB
43,KEGG_2021_Human,Histidine metabolism,1/22,0.2143495472728068,0.7769436140690856,0,0,4.336405529953917,6.678702826496171,HDC
44,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,4/219,0.2171581530006761,0.7769436140690856,0,0,1.7011084546837645,2.597812691595484,IL1R2;ETS2;ICAM1;HLA-DQB1
45,KEGG_2021_Human,Human cytomegalovirus infection,4/225,0.2310046722254436,0.8038327356898792,0,0,1.6544170507886835,2.4242459963819,CXCL8;CCL4L2;CCL3L3;CCL3
46,KEGG_2021_Human,Folate biosynthesis,1/26,0.2480868509652648,0.8038327356898792,0,0,3.6418433179723504,5.0766435963058445,ALPL
47,KEGG_2021_Human,ECM-receptor interaction,2/88,0.2491062201746238,0.8038327356898792,0,0,2.120585701981051,2.947350932298342,ITGB8;COL4A5
48,KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,1/27,0.2562933606983621,0.8038327356898792,0,0,3.501595179014534,4.767185654904273,SCD
49,KEGG_2021_Human,Hypertrophic cardiomyopathy,2/90,0.257183434801405,0.8038327356898792,0,0,2.0721801346801345,2.8139495359213393,EDN1;ITGB8
50,KEGG_2021_Human,Hepatitis B,3/162,0.2596229953780976,0.8038327356898792,0,0,1.722071083808688,2.3222554227315513,EGR3;CXCL8;MMP9
